gene,coordinates,chromosome,strand,paralog_group
YBR185C,"[(599123, 599959)]",chrII,-,YBR185C
YBR186W,"[(600553, 602103), (602217, 602360)]",chrII,+,YBR186W
YBR187W,"[(602634, 603476)]",chrII,+,YBR187W
YBR188C,"[(603685, 604107)]",chrII,-,YBR188C
YBR189W,"[(604508, 604514), (604928, 605508)]",chrII,+,YBR189W
YBR190W,"[(605966, 606277)]",chrII,+,YBR190W
YBR191W,"[(606270, 606280), (606669, 607140)]",chrII,+,YBR191W
YBR191W-A,"[(607149, 607223)]",chrII,+,YBR191W-A
YBR192W,"[(607652, 608785)]",chrII,+,YGR257C
YBR193C,"[(609082, 609753)]",chrII,-,YBR193C
YBR194W,"[(610038, 610409)]",chrII,+,YBR194W
YBR195C,"[(610614, 611882)]",chrII,-,YBR195C
YBR196C,"[(612236, 613900)]",chrII,-,YBR196C
YBR196C-A,"[(614024, 614173)]",chrII,-,YBR196C-A
YBR196C-B,"[(614526, 614630)]",chrII,-,YBR196C-B
YBR197C,"[(615203, 615856)]",chrII,-,YBR197C
YBR198C,"[(616127, 618523)]",chrII,-,YBR198C
YBR199W,"[(618909, 620303)]",chrII,+,YOR099W
YBR200W,"[(620872, 622527)]",chrII,+,YBR200W
YBR200W-A,"[(622983, 623147)]",chrII,+,YBR200W-A
YBR201C-A,"[(624493, 624696)]",chrII,-,YBR201C-A
YBR201W,"[(623576, 624211)]",chrII,+,YBR201W
YBR202W,"[(625772, 628309)]",chrII,+,YPR019W
YBR203W,"[(629168, 631942)]",chrII,+,YBR203W
YBR204C,"[(632254, 633381)]",chrII,-,YGR110W
YBR205W,"[(633622, 634836)]",chrII,+,YOR099W
YBR206W,"[(634601, 634924)]",chrII,+,YBR206W
YBR207W,"[(635146, 636543)]",chrII,+,YBR207W
YBR208C,"[(636703, 642210)]",chrII,-,YBR208C
YBR209W,"[(642583, 642900)]",chrII,+,YBR209W
YBR210W,"[(645550, 645978)]",chrII,+,YIL083C
YBR211C,"[(646158, 647132)]",chrII,-,YBR211C
YBR212W,"[(647886, 649904)]",chrII,+,YBR212W
YBR213W,"[(650368, 651192)]",chrII,+,YBR213W
YBR214W,"[(651415, 652998)]",chrII,+,YGL115W
YBR215W,"[(653356, 653368), (653453, 655317)]",chrII,+,YBR215W
YBR216C,"[(655576, 657600)]",chrII,-,YGL060W
YBR217W,"[(657832, 658392)]",chrII,+,YBR217W
YBR218C,"[(658707, 662249)]",chrII,-,YNR016C
YBR219C,"[(662499, 662581), (663003, 663303)]",chrII,-,YBR219C
YBR220C,"[(662995, 664677)]",chrII,-,YBR219C
YBR221C,"[(665153, 666253)]",chrII,-,YBR221C
YBR221W-A,"[(666538, 666642)]",chrII,+,YBR221W-A
YBR222C,"[(666720, 668351)]",chrII,-,YBR222C
YBR223C,"[(668663, 670297)]",chrII,-,YBR223C
YBR223W-A,"[(668721, 668840)]",chrII,+,YBR223W-A
YBR224W,"[(670125, 670640)]",chrII,+,YBR224W
YBR225W,"[(670627, 673329)]",chrII,+,YBR225W
YBR226C,"[(673155, 673565)]",chrII,-,YBR226C
YBR227C,"[(673572, 675134)]",chrII,-,YBR227C
YBR228W,"[(675313, 676227)]",chrII,+,YBR228W
YBR229C,"[(676357, 679221)]",chrII,-,YBR229C
YBR230C,"[(679549, 679942), (680040, 680050)]",chrII,-,YBR230C
YBR230W-A,"[(680362, 680562)]",chrII,+,YBR230W-A
YBR231C,"[(682179, 683090)]",chrII,-,YBR231C
YBR232C,"[(683373, 683732)]",chrII,-,YBR232C
YBR233W,"[(683428, 684669)]",chrII,+,YBR233W
YBR233W-A,"[(684977, 685261)]",chrII,+,YBR233W-A
YBR234C,"[(685438, 686592)]",chrII,-,YBR234C
YBR235W,"[(686901, 690263)]",chrII,+,YBR235W
YBR236C,"[(690383, 691693)]",chrII,-,YBR236C
YBR237W,"[(691969, 694518)]",chrII,+,YBR237W
YBR238C,"[(695107, 697302)]",chrII,-,YBR238C
YBR239C,"[(698354, 699943)]",chrII,-,YBR239C
YBR240C,"[(700490, 701842)]",chrII,-,YBR240C
YBR241C,"[(702589, 704055)]",chrII,-,YDL247W
YBR242W,"[(704670, 705386)]",chrII,+,YGL101W
YBR243C,"[(705447, 706793)]",chrII,-,YBR243C
YBR244W,"[(707528, 708016)]",chrII,+,YKL026C
YBR245C,"[(708150, 711539)]",chrII,-,YPL082C
YBR246W,"[(711591, 712754)]",chrII,+,YBR246W
YBR247C,"[(713004, 714455)]",chrII,-,YBR247C
YBR248C,"[(714807, 716465)]",chrII,-,YBR248C
YBR249C,"[(716882, 717994)]",chrII,-,YBR249C
YBR250W,"[(719033, 720604)]",chrII,+,YBR250W
YBR251W,"[(721390, 722313)]",chrII,+,YGL123W
YBR252W,"[(722611, 723054)]",chrII,+,YBR252W
YBR253W,"[(723270, 723635)]",chrII,+,YBR253W
YBR254C,"[(723736, 724263)]",chrII,-,YBR254C
YBR255C-A,"[(726618, 726917), (727012, 727074)]",chrII,-,YBR255C-A
YBR255W,"[(724456, 726540)]",chrII,+,YBR255W
YBR256C,"[(727386, 728102)]",chrII,-,YBR256C
YBR257W,"[(728885, 729724)]",chrII,+,YBR257W
YBR258C,"[(729734, 730162)]",chrII,-,YBR258C
YBR259W,"[(730387, 732453)]",chrII,+,YBR259W
YBR260C,"[(732639, 734639)]",chrII,-,YBR260C
YBR261C,"[(734832, 735530)]",chrII,-,YBR261C
YBR262C,"[(735720, 736040)]",chrII,-,YBR262C
YBR263W,"[(736264, 737736)]",chrII,+,YBR263W
YBR264C,"[(737770, 738369)]",chrII,-,YFL005W
YBR265W,"[(738582, 739544)]",chrII,+,YBR265W
YBR266C,"[(739936, 740388)]",chrII,-,YBR266C
YBR267W,"[(739841, 741022)]",chrII,+,YBR267W
YBR268W,"[(741299, 741616)]",chrII,+,YBR268W
YBR269C,"[(742160, 742576)]",chrII,-,YBR269C
YBR270C,"[(742761, 744398)]",chrII,-,YJL058C
YBR271W,"[(744852, 746111)]",chrII,+,YBR271W
YBR272C,"[(746361, 747803)]",chrII,-,YBR272C
YBR273C,"[(748061, 749371)]",chrII,-,YBR273C
YBR274W,"[(749594, 751177)]",chrII,+,YGL179C
YBR275C,"[(751356, 757106)]",chrII,-,YBR275C
YBR276C,"[(757620, 760043)]",chrII,-,YBR276C
YBR277C,"[(760215, 760616)]",chrII,-,YBR277C
YBR278W,"[(760294, 760899)]",chrII,+,YOR358W
YBR279W,"[(761257, 762594)]",chrII,+,YBR279W
YBR280C,"[(762784, 764697)]",chrII,-,YBR280C
YBR281C,"[(764970, 767606)]",chrII,-,YBR281C
YBR282W,"[(768240, 768680)]",chrII,+,YBR282W
YBR283C,"[(768943, 770415)]",chrII,-,YBR283C
YBR284W,"[(771239, 773632)]",chrII,+,YML035C
YBR285W,"[(773922, 774356)]",chrII,+,YBR285W
YBR286W,"[(774700, 776313)]",chrII,+,YBR286W
YBR287W,"[(776571, 777854)]",chrII,+,YBR287W
YBR288C,"[(778012, 779463)]",chrII,-,YBR288C
YBR289W,"[(779667, 782384)]",chrII,+,YBR289W
YBR290W,"[(782591, 783556)]",chrII,+,YBR290W
YBR291C,"[(783673, 784572)]",chrII,-,YGR257C
YBR292C,"[(784702, 785073)]",chrII,-,YBR292C
YBR293W,"[(787006, 788430)]",chrII,+,YBR293W
YBR294W,"[(789235, 791814)]",chrII,+,YGR125W
YBR295W,"[(792849, 796499)]",chrII,+,YBR295W
YBR296C,"[(796798, 798522)]",chrII,-,YBR296C
YBR296C-A,"[(800123, 800242)]",chrII,-,YBR296C-A
YBR297W,"[(800523, 801929)]",chrII,+,YPR196W
YBR298C,"[(802631, 804475)]",chrII,-,YDL247W
YBR298C-A,"[(805035, 805256)]",chrII,-,YBR298C-A
YBR299W,"[(805351, 807105)]",chrII,+,YBR299W
YBR300C,"[(808600, 809097)]",chrII,-,YGR293C
YBR301W,"[(809057, 809419)]",chrII,+,YIL011W
YBR302C,"[(810340, 811479)]",chrII,-,YHL042W
YCL001W,"[(111916, 112482)]",chrIII,+,YCL001W
YCL001W-A,"[(113080, 113541)]",chrIII,+,YCL001W-A
YCL001W-B,"[(113770, 114024)]",chrIII,+,YCL001W-B
YCL002C,"[(110808, 111557), (111634, 111675)]",chrIII,-,YCL002C
YCL004W,"[(109105, 110670)]",chrIII,+,YCL004W
YCL005W,"[(108021, 108791)]",chrIII,+,YCL005W
YCL005W-A,"[(107023, 107033), (107111, 107191), (107288, 107417)]",chrIII,+,YCL005W-A
YCL007C,"[(106974, 107366)]",chrIII,-,YCL007C
YCL008C,"[(105696, 106853)]",chrIII,-,YCL008C
YCL009C,"[(104619, 105548)]",chrIII,-,YCL009C
YCL010C,"[(103571, 104350)]",chrIII,-,YCL010C
YCL011C,"[(102075, 103358)]",chrIII,-,YNL004W
YCL012C,"[(101317, 101633), (101701, 101788)]",chrIII,-,YCL012C
YCL014W,"[(96281, 101191)]",chrIII,+,YCL014W
YCL016C,"[(94621, 95763)]",chrIII,-,YCL016C
YCL017C,"[(92777, 94270)]",chrIII,-,YCL017C
YCL018W,"[(91324, 92418)]",chrIII,+,YOR136W
YCL019W,"[(85102, 86391), (86393, 90415)]",chrIII,+,YCL019W
YCL020W,"[(85102, 86418)]",chrIII,+,YCL020W
YCL021W-A,"[(83620, 83997)]",chrIII,+,YCL021W-A
YCL022C,"[(81570, 82085)]",chrIII,-,YCL022C
YCL023C,"[(78949, 79296)]",chrIII,-,YCL023C
YCL024W,"[(79162, 82275)]",chrIII,+,YDR507C
YCL025C,"[(76018, 77919)]",chrIII,-,YEL063C
YCL026C-A,"[(74704, 75285)]",chrIII,-,YCL026C-A
YCL026C-B,"[(73405, 73986)]",chrIII,-,YCL026C-A
YCL027W,"[(71803, 73341)]",chrIII,+,YCL027W
YCL028W,"[(70150, 71367)]",chrIII,+,YCL028W
YCL029C,"[(68599, 69921)]",chrIII,-,YCL029C
YCL030C,"[(65934, 68333)]",chrIII,-,YCL030C
YCL031C,"[(64675, 65568)]",chrIII,-,YCL031C
YCL032W,"[(63441, 64481)]",chrIII,+,YCL032W
YCL033C,"[(62776, 63282)]",chrIII,-,YCL033C
YCL034W,"[(61658, 62722)]",chrIII,+,YCL034W
YCL035C,"[(60841, 61173)]",chrIII,-,YDR513W
YCL036W,"[(59026, 60726)]",chrIII,+,YCL036W
YCL037C,"[(57374, 58678)]",chrIII,-,YDR515W
YCL038C,"[(54941, 56527)]",chrIII,-,YCL038C
YCL039W,"[(52645, 54882)]",chrIII,+,YCL039W
YCL040W,"[(50838, 52340)]",chrIII,+,YLR446W
YCL041C,"[(50133, 50627)]",chrIII,-,YCL041C
YCL042W,"[(50584, 50943)]",chrIII,+,YCL042W
YCL043C,"[(48653, 50221)]",chrIII,-,YCL043C
YCL044C,"[(47111, 48364)]",chrIII,-,YCL044C
YCL045C,"[(44623, 46905)]",chrIII,-,YCL045C
YCL046W,"[(46640, 46963)]",chrIII,+,YCL046W
YCL047C,"[(43661, 44437)]",chrIII,-,YCL047C
YCL048W,"[(42165, 43556)]",chrIII,+,YBR078W
YCL048W-A,"[(41488, 41727)]",chrIII,+,YCL048W-A
YCL049C,"[(39786, 40724)]",chrIII,-,YCL049C
YCL050C,"[(37836, 38801)]",chrIII,-,YCL050C
YCL051W,"[(35865, 37616)]",chrIII,+,YCL051W
YCL052C,"[(34143, 35393)]",chrIII,-,YCL052C
YCL054W,"[(31449, 33974)]",chrIII,+,YCL054W
YCL054W-A,"[(30910, 30996)]",chrIII,+,YCL054W-A
YCL055W,"[(27929, 28936)]",chrIII,+,YCL055W
YCL056C,"[(26925, 27359)]",chrIII,-,YCL056C
YCL057C-A,"[(24032, 24325)]",chrIII,-,YCL057C-A
YCL057W,"[(24768, 26906)]",chrIII,+,YKL134C
YCL058C,"[(23523, 23981)]",chrIII,-,YCL058C
YCL058W-A,"[(23584, 23925)]",chrIII,+,YCL058W-A
YCL059C,"[(22429, 23379)]",chrIII,-,YCL059C
YCL061C,"[(18816, 22106)]",chrIII,-,YCL061C
YCL063W,"[(17290, 18561)]",chrIII,+,YCL063W
YCL064C,"[(15798, 16880)]",chrIII,-,YGR155W
YCL065W,"[(13751, 14119)]",chrIII,+,YCR041W
YCL066W,"[(13282, 13809)]",chrIII,+,YCL066W
YCL067C,"[(12386, 13018)]",chrIII,-,YCL067C
YCL068C,"[(11503, 12285)]",chrIII,-,YCL068C
YCL069W,"[(9706, 11082)]",chrIII,+,YKR105C
YCL073C,"[(6479, 8326)]",chrIII,-,YKR105C
YCL076W,"[(1392, 2135)]",chrIII,+,YCL076W
YCR001W,"[(115685, 115999)]",chrIII,+,YCR001W
YCR002C,"[(117380, 118348)]",chrIII,-,YLR314C
YCR003W,"[(118620, 119171)]",chrIII,+,YCR003W
YCR004C,"[(119575, 120318)]",chrIII,-,YBR052C
YCR005C,"[(120946, 122328)]",chrIII,-,YPR001W
YCR006C,"[(122530, 123003)]",chrIII,-,YCR006C
YCR007C,"[(126011, 126730)]",chrIII,-,YHL044W
YCR008W,"[(128470, 130281)]",chrIII,+,YCR008W
YCR009C,"[(130745, 131542)]",chrIII,-,YCR009C
YCR010C,"[(132273, 133124)]",chrIII,-,YCR010C
YCR011C,"[(133724, 136873)]",chrIII,-,YOR011W
YCR012W,"[(137746, 138996)]",chrIII,+,YCR012W
YCR013C,"[(138402, 139049)]",chrIII,-,YCR013C
YCR014C,"[(139185, 140933)]",chrIII,-,YCR014C
YCR015C,"[(141217, 142170)]",chrIII,-,YCR015C
YCR016W,"[(143634, 144506)]",chrIII,+,YCR016W
YCR017C,"[(144773, 147634)]",chrIII,-,YCR017C
YCR018C,"[(148238, 148903)]",chrIII,-,YPL021W
YCR018C-A,"[(151608, 151862)]",chrIII,-,YLR334C
YCR019W,"[(152837, 153928)]",chrIII,+,YCR019W
YCR020C,"[(154012, 154659)]",chrIII,-,YCR020C
YCR020C-A,"[(154830, 155096)]",chrIII,-,YCR020C-A
YCR020W-B,"[(155320, 155556)]",chrIII,+,YCR020W-B
YCR021C,"[(156109, 157107)]",chrIII,-,YCR021C
YCR022C,"[(157421, 157765)]",chrIII,-,YCR022C
YCR023C,"[(158538, 160373)]",chrIII,-,YCR023C
YCR024C,"[(160744, 162222)]",chrIII,-,YPL104W
YCR024C-A,"[(162945, 163067)]",chrIII,-,YCR024C-A
YCR024C-B,"[(162599, 162865)]",chrIII,-,YCR024C-B
YCR025C,"[(163446, 163856)]",chrIII,-,YCR025C
YCR026C,"[(164111, 166339)]",chrIII,-,YCR026C
YCR027C,"[(167370, 167999)]",chrIII,-,YCR027C
YCR028C,"[(170886, 172424)]",chrIII,-,YCR028C
YCR028C-A,"[(172950, 173115), (173199, 173440)]",chrIII,-,YCR028C-A
YCR030C,"[(173826, 176438)]",chrIII,-,YCR030C
YCR031C,"[(177500, 177906), (178214, 178220)]",chrIII,-,YJL191W
YCR032W,"[(179520, 186023)]",chrIII,+,YCR032W
YCR033W,"[(186489, 190169)]",chrIII,+,YCR033W
YCR034W,"[(190592, 191635)]",chrIII,+,YCR034W
YCR035C,"[(191834, 193018)]",chrIII,-,YDR280W
YCR036W,"[(193297, 194298)]",chrIII,+,YCR036W
YCR037C,"[(194414, 197185)]",chrIII,-,YCR037C
YCR038C,"[(197621, 199549)]",chrIII,-,YCR038C
YCR038W-A,"[(199293, 199418)]",chrIII,+,YCR038W-A
YCR039C,"[(199546, 200178)]",chrIII,-,YCL067C
YCR040W,"[(200442, 200969)]",chrIII,+,YCL066W
YCR041W,"[(200911, 201243)]",chrIII,+,YCR041W
YCR042C,"[(201174, 205397)]",chrIII,-,YCR042C
YCR043C,"[(206261, 206644)]",chrIII,-,YCR043C
YCR044C,"[(206877, 207950)]",chrIII,-,YCR044C
YCR045C,"[(208135, 209610)]",chrIII,-,YCR045C
YCR045W-A,"[(208751, 209101)]",chrIII,+,YCR045W-A
YCR046C,"[(209914, 210423)]",chrIII,-,YCR046C
YCR047C,"[(210718, 211545)]",chrIII,-,YCR047C
YCR047W-A,"[(211301, 211507)]",chrIII,+,YCR047W-A
YCR048W,"[(211929, 213761)]",chrIII,+,YCR048W
YCR049C,"[(211871, 212317)]",chrIII,-,YCR049C
YCR050C,"[(213464, 213772)]",chrIII,-,YCR050C
YCR051W,"[(214071, 214739)]",chrIII,+,YCR051W
YCR052W,"[(214994, 216445)]",chrIII,+,YMR233W
YCR053W,"[(216697, 218241)]",chrIII,+,YGR155W
YCR054C,"[(218376, 220067)]",chrIII,-,YCR054C
YCR057C,"[(220457, 223228)]",chrIII,-,YCR057C
YCR059C,"[(223454, 224230)]",chrIII,-,YCR059C
YCR060W,"[(224399, 224734)]",chrIII,+,YCR060W
YCR061W,"[(225563, 227458)]",chrIII,+,YNL237W
YCR063W,"[(228318, 228791)]",chrIII,+,YCR063W
YCR064C,"[(228095, 228505)]",chrIII,-,YCR064C
YCR065W,"[(229310, 231004)]",chrIII,+,YCR065W
YCR066W,"[(231500, 232963)]",chrIII,+,YCR066W
YCR067C,"[(233125, 236322)]",chrIII,-,YGR200C
YCR068W,"[(237214, 238776)]",chrIII,+,YCR068W
YCR069W,"[(239055, 240011)]",chrIII,+,YCR069W
YCR071C,"[(240103, 240543)]",chrIII,-,YCR071C
YCR072C,"[(240805, 242352)]",chrIII,-,YCR072C
YCR073C,"[(242588, 246583)]",chrIII,-,YJL095W
YCR073W-A,"[(246963, 247910)]",chrIII,+,YCR073W-A
YCR075C,"[(248033, 248815)]",chrIII,-,YCR075C
YCR075W-A,"[(248975, 249202)]",chrIII,+,YCR075W-A
YCR076C,"[(249293, 250045)]",chrIII,-,YCR076C
YCR077C,"[(250238, 252628)]",chrIII,-,YCR077C
YCR079W,"[(252845, 254173)]",chrIII,+,YBL056W
YCR081C-A,"[(258415, 258651)]",chrIII,-,YCR081C-A
YCR081W,"[(254371, 258654)]",chrIII,+,YCR081W
YCR082W,"[(258883, 259269)]",chrIII,+,YCR082W
YCR083W,"[(259578, 259961)]",chrIII,+,YGR209C
YCR084C,"[(260311, 262452)]",chrIII,-,YCR084C
YCR085W,"[(262916, 263269)]",chrIII,+,YCR085W
YCR086W,"[(263392, 263964)]",chrIII,+,YCR086W
YCR087C-A,"[(264006, 264467)]",chrIII,-,YCR087C-A
YCR087W,"[(263976, 264491)]",chrIII,+,YCR087W
YCR088W,"[(265068, 266846)]",chrIII,+,YCR088W
YCR089W,"[(267434, 272263)]",chrIII,+,YCR089W
YCR090C,"[(272315, 272863)]",chrIII,-,YCR090C
YCR091W,"[(274404, 276566)]",chrIII,+,YBR028C
YCR092C,"[(276764, 279820)]",chrIII,-,YOL090W
YCR093W,"[(280117, 286443)]",chrIII,+,YCR093W
YCR094W,"[(286762, 287937)]",chrIII,+,YNR048W
YCR095C,"[(288170, 289258)]",chrIII,-,YNL056W
YCR095W-A,"[(289639, 289797)]",chrIII,+,YCR095W-A
YCR096C,"[(293179, 293538)]",chrIII,-,YCR096C
YCR097W,"[(293835, 293939), (293994, 294239), (294292, 294321)]",chrIII,+,YCR097W
YCR097W-A,"[(294439, 294705)]",chrIII,+,YCR041W
YCR098C,"[(297049, 298605)]",chrIII,-,YCR098C
YCR099C,"[(300832, 301299)]",chrIII,-,YBL017C
YCR100C,"[(301271, 302221)]",chrIII,-,YBL017C
YCR101C,"[(302482, 303030)]",chrIII,-,YCR101C
YCR102C,"[(304361, 305467)]",chrIII,-,YLR070C
YCR102W-A,"[(306735, 306932)]",chrIII,+,YHL042W
YCR104W,"[(307801, 308175)]",chrIII,+,YIL011W
YCR105W,"[(309070, 310155)]",chrIII,+,YLR070C
YCR106W,"[(310958, 313456)]",chrIII,+,YAL051W
YCR107W,"[(313890, 314981)]",chrIII,+,YMR041C
YDL001W,"[(447984, 449276)]",chrIV,+,YDL001W
YDL002C,"[(446967, 447578)]",chrIV,-,YDL002C
YDL003W,"[(444683, 446383)]",chrIV,+,YDL003W
YDL004W,"[(443029, 443511)]",chrIV,+,YDL004W
YDL005C,"[(441014, 442309)]",chrIV,-,YDL005C
YDL006W,"[(439909, 440754)]",chrIV,+,YBL056W
YDL007C-A,"[(436567, 436824)]",chrIV,-,YDL007C-A
YDL007W,"[(438047, 439360)]",chrIV,+,YGL048C
YDL008W,"[(433497, 433994)]",chrIV,+,YOL133W
YDL009C,"[(432925, 433248)]",chrIV,-,YDL009C
YDL010W,"[(432330, 433025)]",chrIV,+,YDR513W
YDL011C,"[(432308, 432631)]",chrIV,-,YDL011C
YDL012C,"[(431108, 431386), (431473, 431517)]",chrIV,-,YBR016W
YDL013W,"[(429067, 430926)]",chrIV,+,YDL013W
YDL014W,"[(427364, 428347)]",chrIV,+,YDL014W
YDL015C,"[(426002, 426934)]",chrIV,-,YDL015C
YDL016C,"[(425570, 425872)]",chrIV,-,YDL016C
YDL017W,"[(424209, 425732)]",chrIV,+,YHR135C
YDL018C,"[(422833, 423510)]",chrIV,-,YDL018C
YDL019C,"[(417663, 421514)]",chrIV,-,YAR042W
YDL020C,"[(415113, 416708)]",chrIV,-,YDL020C
YDL021W,"[(413953, 414888)]",chrIV,+,YKL152C
YDL022C-A,"[(409808, 410056)]",chrIV,-,YDL022C-A
YDL022W,"[(411825, 413000)]",chrIV,+,YOL059W
YDL023C,"[(411761, 412081)]",chrIV,-,YDL023C
YDL024C,"[(408451, 409857)]",chrIV,-,YBR093C
YDL025C,"[(405344, 407206)]",chrIV,-,YDL025C
YDL025W-A,"[(405410, 405514)]",chrIV,+,YDL025W-A
YDL026W,"[(404749, 405060)]",chrIV,+,YDL026W
YDL027C,"[(403695, 404957)]",chrIV,-,YDL027C
YDL028C,"[(400997, 403291)]",chrIV,-,YDL028C
YDL029W,"[(399340, 399361), (399485, 400638)]",chrIV,+,YDL029W
YDL030W,"[(397537, 399129)]",chrIV,+,YDL030W
YDL031W,"[(394217, 397204)]",chrIV,+,YDL031W
YDL032W,"[(393690, 394001)]",chrIV,+,YDL032W
YDL033C,"[(392659, 393912)]",chrIV,-,YDL033C
YDL034W,"[(391783, 392127)]",chrIV,+,YDL034W
YDL035C,"[(389172, 392057)]",chrIV,-,YDL035C
YDL036C,"[(387513, 388901)]",chrIV,-,YOL066C
YDL037C,"[(384601, 385587)]",chrIV,-,YDL037C
YDL039C,"[(381985, 384081)]",chrIV,-,YDL039C
YDL040C,"[(378874, 381438)]",chrIV,-,YDL040C
YDL041W,"[(378102, 378455)]",chrIV,+,YDL041W
YDL042C,"[(376757, 378445)]",chrIV,-,YOL068C
YDL043C,"[(375680, 376480)]",chrIV,-,YDL043C
YDL044C,"[(373967, 375289)]",chrIV,-,YDL044C
YDL045C,"[(372688, 373608)]",chrIV,-,YDL045C
YDL045W-A,"[(372248, 372535)]",chrIV,+,YDL045W-A
YDL046W,"[(371240, 371761)]",chrIV,+,YDL046W
YDL047W,"[(369771, 370706)]",chrIV,+,YLR433C
YDL048C,"[(366739, 368211)]",chrIV,-,YGL209W
YDL049C,"[(365068, 365874)]",chrIV,-,YJL174W
YDL050C,"[(364446, 364817)]",chrIV,-,YDL050C
YDL051W,"[(363952, 364779)]",chrIV,+,YDL051W
YDL052C,"[(362672, 363583)]",chrIV,-,YDL052C
YDL053C,"[(361699, 362256)]",chrIV,-,YDL053C
YDL054C,"[(359825, 361285)]",chrIV,-,YDL054C
YDL055C,"[(355674, 356759)]",chrIV,-,YDR211W
YDL056W,"[(352877, 355378)]",chrIV,+,YDL056W
YDL057W,"[(351434, 352420)]",chrIV,+,YDL057W
YDL058W,"[(345665, 351037)]",chrIV,+,YDL058W
YDL059C,"[(344237, 344953)]",chrIV,-,YDL059C
YDL060W,"[(341619, 343985)]",chrIV,+,YDL060W
YDL061C,"[(340628, 340798)]",chrIV,-,YDL061C
YDL062W,"[(339857, 340282)]",chrIV,+,YDL062W
YDL063C,"[(338272, 340134)]",chrIV,-,YDL063C
YDL064W,"[(337487, 337524), (337635, 338070)]",chrIV,+,YDR177W
YDL065C,"[(336249, 337277)]",chrIV,-,YDL065C
YDL066W,"[(334835, 336121)]",chrIV,+,YLR174W
YDL067C,"[(334217, 334396)]",chrIV,-,YDL067C
YDL068W,"[(333500, 333829)]",chrIV,+,YDL068W
YDL069C,"[(333121, 333810)]",chrIV,-,YDL069C
YDL070W,"[(331024, 332940)]",chrIV,+,YLR399C
YDL071C,"[(330666, 331040)]",chrIV,-,YDL071C
YDL072C,"[(329836, 330447)]",chrIV,-,YMR040W
YDL073W,"[(326613, 329567)]",chrIV,+,YDL073W
YDL074C,"[(324047, 326149)]",chrIV,-,YDL074C
YDL075W,"[(322226, 322282), (322704, 322988)]",chrIV,+,YLR406C
YDL076C,"[(320668, 321552)]",chrIV,-,YDL076C
YDL077C,"[(316971, 320120)]",chrIV,-,YDR495C
YDL078C,"[(315357, 316388)]",chrIV,-,YOL126C
YDL079C,"[(312951, 314044), (314337, 314748)]",chrIV,-,YNL307C
YDL080C,"[(310642, 312471)]",chrIV,-,YEL020C
YDL081C,"[(309802, 310122)]",chrIV,-,YDL081C
YDL082W,"[(308424, 308427), (308793, 309388)]",chrIV,+,YDL082W
YDL083C,"[(306926, 307333), (307766, 307789)]",chrIV,-,YBR146W
YDL084W,"[(305237, 306577)]",chrIV,+,YDL031W
YDL085C-A,"[(302464, 302670)]",chrIV,-,YDL085C-A
YDL085W,"[(303211, 304848)]",chrIV,+,YMR145C
YDL086C-A,"[(301655, 302089)]",chrIV,-,YDL086C-A
YDL086W,"[(301413, 302234)]",chrIV,+,YDL086W
YDL087C,"[(300214, 300999)]",chrIV,-,YDL087C
YDL088C,"[(298417, 300003)]",chrIV,-,YDL088C
YDL089W,"[(296820, 298274)]",chrIV,+,YDL089W
YDL090C,"[(295034, 296329)]",chrIV,-,YDL090C
YDL091C,"[(293392, 294759)]",chrIV,-,YDR330W
YDL092W,"[(292781, 293221)]",chrIV,+,YDL092W
YDL093W,"[(289909, 292140)]",chrIV,+,YDL095W
YDL094C,"[(289572, 290081)]",chrIV,-,YDL094C
YDL095W,"[(287059, 289512)]",chrIV,+,YDL095W
YDL096C,"[(286998, 287324)]",chrIV,-,YDL096C
YDL097C,"[(285391, 286695)]",chrIV,-,YDL097C
YDL098C,"[(284581, 285165)]",chrIV,-,YDL098C
YDL099W,"[(283419, 284444)]",chrIV,+,YDL099W
YDL100C,"[(282112, 283176)]",chrIV,-,YDL100C
YDL101C,"[(280307, 281848)]",chrIV,-,YDL101C
YDL102W,"[(276872, 280165)]",chrIV,+,YPL167C
YDL103C,"[(275148, 276581)]",chrIV,-,YDL103C
YDL104C,"[(273653, 274876)]",chrIV,-,YDL104C
YDL105W,"[(272389, 273597)]",chrIV,+,YDL105W
YDL106C,"[(270222, 271901)]",chrIV,-,YDL106C
YDL107W,"[(268921, 269976)]",chrIV,+,YDL107W
YDL108W,"[(267698, 267725), (267807, 268699)]",chrIV,+,YDL108W
YDL109C,"[(265258, 267201)]",chrIV,-,YDL109C
YDL110C,"[(264512, 264964)]",chrIV,-,YDL110C
YDL111C,"[(263313, 264110)]",chrIV,-,YDR280W
YDL112W,"[(258915, 263225)]",chrIV,+,YOR201C
YDL113C,"[(256633, 258555)]",chrIV,-,YDL113C
YDL114W,"[(255604, 256530)]",chrIV,+,YLR426W
YDL114W-A,"[(254935, 255048)]",chrIV,+,YDL114W-A
YDL115C,"[(253995, 254974), (255045, 255126)]",chrIV,-,YDL115C
YDL116W,"[(251566, 253746)]",chrIV,+,YDL116W
YDL117W,"[(248581, 251238)]",chrIV,+,YDL117W
YDL118W,"[(247302, 247682)]",chrIV,+,YDL118W
YDL119C,"[(246689, 247612)]",chrIV,-,YGR257C
YDL120W,"[(245923, 246447)]",chrIV,+,YDL120W
YDL121C,"[(245133, 245582)]",chrIV,-,YDL121C
YDL122W,"[(242552, 244981)]",chrIV,+,YER151C
